"","Court","PendStart","New","Reopen","Closed","PendatEnd","Pending0.6","Pending6plus","PendingInact.BW","JuryTrials","NonJuryTrials","Convict","Acquit","PleaTrial","DismTrial","DismBrief","PleaBef","DismbyPros","PostJActiv","Other","court.type","Year"
"377","Juvenile Crimes Against Persons","42","112","18","124","49","41",6,2,0,0,0,0,0,0,6,50,75,16,"0","Eleventh District Court",2015
"378","Juvenile Delinquent Felony","11","3","1","12","3","1",2,0,0,0,0,0,0,0,0,5,9,1,"0","Eleventh District Court",2015
"379","Juvenile Delinquent Non‐Felony","4","12","5","13","8","5",2,1,0,0,0,0,0,0,1,5,6,3,"0","Eleventh District Court",2015
"380","Juvenile Drug Offenses","14","52","17","64","19","18",0,1,0,0,0,0,0,0,0,27,30,16,"0","Eleventh District Court",2015
"381","Juvenile DWI Offenses","4","16","3","16","7","6",0,1,0,0,0,0,0,0,0,12,12,2,"0","Eleventh District Court",2015
"382","Juvenile Graffiti Offenses","1","0","0","1","0","0",0,0,0,0,0,0,0,0,0,0,0,1,"0","Eleventh District Court",2015
"383","Juvenile Homicide","0","2","0","2","0","0",0,0,0,0,0,0,0,0,0,0,2,0,"0","Eleventh District Court",2015
"384","Juvenile Motor Vehicle Offenses","2","5","1","7","1","1",0,0,0,0,0,0,0,0,0,3,5,1,"0","Eleventh District Court",2015
"385","Juvenile Sexual Offenses","6","7","1","8","5","4",1,0,0,0,0,0,0,0,0,3,4,2,"0","Eleventh District Court",2015
"386","Youthful Offender Crimes Against Persons","2","0","0","2","0","0",0,0,0,0,0,0,0,0,0,2,2,0,"0","Eleventh District Court",2015
"387","Youthful Offender Homicide","1","0","1","2","0","0",0,0,0,0,0,0,0,0,0,0,0,2,"0","Eleventh District Court",2015
"388","Youthful Offender Sexual Offenses","1","1","0","1","1","0",0,1,0,0,0,0,0,0,0,0,1,0,"0","Eleventh District Court",2015
"389","Total","128","326","69","371","149","110",24,15,0,0,0,0,0,0,9,165,221,59,"0","Eleventh District Court",2015
"390","CRIMINAL","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Twelfth District Court",2015
"391","Adult Motor Vehicle Offenses","1","0","0","1","0","0",0,0,0,0,0,0,0,0,0,1,0,0,"0","Twelfth District Court",2015
"392","Extradition","3","8","0","6","5","1",3,1,0,0,0,0,0,0,0,0,2,0,"4","Twelfth District Court",2015
"393","Felony Crimes Against Property","217","126","140","261","223","89",99,35,8,0,3,1,3,1,16,86,68,127,"1","Twelfth District Court",2015
"394","Felony Crimes Against Persons","356","228","158","368","380","157",176,47,19,0,8,6,3,2,28,130,116,154,"0","Twelfth District Court",2015
"395","Felony Drug Offenses","509","240","200","429","526","176",219,131,18,0,11,2,3,2,53,125,111,186,"1","Twelfth District Court",2015
"396","Felony DWI/DUI","63","36","26","59","66","28",23,15,2,0,1,0,1,0,0,40,32,14,"0","Twelfth District Court",2015
"397","Felony Homicide","11","4","7","11","11","2",8,1,2,0,2,0,0,0,0,2,2,7,"0","Twelfth District Court",2015
"398","Felony Miscellaneous","190","107","87","180","212","75",98,39,11,1,7,3,1,1,20,53,59,74,"1","Twelfth District Court",2015
"399","Felony Public Safety Offenses","9","2","3","6","8","1",4,3,0,0,0,0,0,0,0,1,3,2,"0","Twelfth District Court",2015
"400","Felony Sexual Offenses","38","27","17","38","46","18",24,4,3,0,0,1,1,1,1,16,11,15,"0","Twelfth District Court",2015
"401","Felony First Degree","0","0","1","1","0","0",0,0,0,0,0,0,0,0,0,0,0,1,"0","Twelfth District Court",2015
"402","Felony Domestic Violence","8","1","2","4","7","1",3,3,0,0,0,0,0,0,0,3,1,1,"0","Twelfth District Court",2015
"403","Lower Court Appeal","11","0","1","6","6","0",5,1,0,0,0,0,0,0,3,1,0,2,"0","Twelfth District Court",2015
"404","Felony Vehicular Homicide","2","0","0","0","2","0",1,1,0,0,0,0,0,0,0,0,0,0,"0","Twelfth District Court",2015
"405","Lower Court Appeal ‐ Defendant Appellant","13","21","1","18","17","8",9,0,0,1,1,0,0,0,6,9,3,0,"1","Twelfth District Court",2015
"406","Lower Court Appeal ‐ Plaintiff Appellant","0","5","1","2","4","4",0,0,0,0,0,0,0,0,1,1,0,0,"0","Twelfth District Court",2015
"407","Lower Court DWI/DUI Appeals","2","0","0","2","0","0",0,0,0,0,0,0,0,0,0,1,1,0,"0","Twelfth District Court",2015
"408","Lower Court DWI Appeal ‐ Defendant Appellant","3","5","0","4","4","4",0,0,0,1,0,0,1,0,1,1,0,0,"0","Twelfth District Court",2015
"409","Misdemeanor (Dist.)","43","38","4","49","38","17",19,2,3,0,1,1,1,0,0,23,17,8,"0","Twelfth District Court",2015
"410","Misdemeanor DWI/DUI","5","1","3","3","6","1",4,1,0,0,0,0,0,0,0,2,1,1,"0","Twelfth District Court",2015
"411","Total","1484","849","651","1448","1561","582",695,284,66,3,34,14,14,7,129,495,427,592,"8","Twelfth District Court",2015
"412","JUVENILE","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Twelfth District Court",2015
"413","Juvenile Public Safety Offenses","5","2","9","15","1","0",1,0,0,0,0,0,0,0,0,4,1,10,"0","Twelfth District Court",2015
"414","Juvenile Crimes Against Property","39","35","25","80","19","10",7,2,0,0,0,0,0,0,8,32,8,29,"0","Twelfth District Court",2015
"415","Juvenile Crimes Against Persons","21","38","15","52","24","18",3,3,0,1,1,0,0,0,2,26,9,18,"0","Twelfth District Court",2015
"416","Juvenile Delinquent Felony","12","16","11","28","11","4",6,1,1,0,1,0,0,0,1,10,3,13,"0","Twelfth District Court",2015
"417","Juvenile Delinquent Non‐Felony","11","27","12","46","4","1",2,1,0,0,0,0,0,0,1,27,3,14,"0","Twelfth District Court",2015
"418","Juvenile Drug Offenses","12","25","10","36","11","6",2,3,0,0,0,0,0,0,4,19,2,12,"0","Twelfth District Court",2015
"419","Juvenile DWI Offenses","3","1","2","4","3","3",0,0,0,0,0,0,0,0,0,0,1,3,"0","Twelfth District Court",2015
"420","Juvenile Motor Vehicle Offenses","2","0","0","1","1","0",1,0,0,0,0,0,0,0,0,0,0,1,"0","Twelfth District Court",2015
"421","Juvenile Sexual Offenses","2","2","0","2","2","1",1,0,0,0,0,0,0,0,1,0,0,1,"0","Twelfth District Court",2015
"422","Youthful Offender Crimes Against Persons","1","0","1","1","1","1",0,0,1,0,1,0,0,0,0,0,0,0,"0","Twelfth District Court",2015
"423","Youthful Offender Crimes Against Property","1","2","0","0","3","2",1,0,0,0,0,0,0,0,0,0,0,0,"0","Twelfth District Court",2015
"424","Youthful Offender Homicide","1","0","0","1","0","0",0,0,0,0,0,0,0,0,0,0,1,0,"0","Twelfth District Court",2015
"425","Youthful Offender Miscellaneous","1","1","0","1","1","0",1,0,0,0,0,0,0,0,0,1,0,0,"0","Twelfth District Court",2015
"426","Youthful Offender Sexual Offenses","1","2","0","1","2","1",1,0,0,0,0,0,0,0,0,1,0,0,"0","Twelfth District Court",2015
"427","Total","112","151","85","268","83","47",26,10,2,1,3,0,0,0,17,120,28,101,"0","Twelfth District Court",2015
"428","CRIMINAL","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Thirteenth District Court",2015
"429","Domestic Violence Appeal ‐ Defendant Appellant","1","1","0","2","0","0",0,0,0,0,0,0,0,0,1,0,1,0,"0","Thirteenth District Court",2015
"430","Extradition","43","36","0","34","45","7",38,0,0,0,0,0,0,0,0,0,17,0,"4","Thirteenth District Court",2015
"431","Felony Crimes Against Property","835","333","198","573","793","227",319,247,8,1,2,3,1,2,58,203,226,208,"0","Thirteenth District Court",2015
"432","Felony Crimes Against Persons","1009","459","191","685","977","290",442,245,15,3,7,7,1,2,67,225,296,215,"0","Thirteenth District Court",2015
"433","Felony Drug Offenses","515","303","165","428","555","203",207,145,2,0,2,0,0,0,56,123,164,172,"0","Thirteenth District Court",2015
"434","Felony DWI/DUI","154","69","41","121","146","48",42,56,0,1,1,0,0,0,14,53,50,45,"0","Thirteenth District Court",2015
"435","Felony Homicide","32","6","6","19","25","5",18,2,1,0,1,0,0,0,0,8,9,8,"0","Thirteenth District Court",2015
"436","Felony Miscellaneous","80","39","15","57","77","17",41,19,2,0,1,0,0,1,6,19,18,22,"0","Thirteenth District Court",2015
"437","Felony Public Safety Offenses","117","65","11","81","112","32",57,23,0,1,0,0,0,1,11,35,45,15,"0","Thirteenth District Court",2015
"438","Felony Sexual Offenses","73","24","18","50","64","16",41,7,4,0,1,2,0,0,4,14,15,19,"0","Thirteenth District Court",2015
"439","Felony Domestic Violence","0","0","1","1","0","0",0,0,0,0,0,0,0,0,0,0,0,1,"0","Thirteenth District Court",2015
"440","Felony Vehicular Homicide","4","0","0","0","4","0",3,1,0,0,0,0,0,0,0,0,0,0,"0","Thirteenth District Court",2015
"441","Lower Court Appeal","24","0","0","2","22","0",22,0,0,0,0,0,0,0,0,0,0,2,"0","Thirteenth District Court",2015
"442","Lower Court Appeal ‐ Defendant Appellant","43","37","1","40","41","14",27,0,0,5,3,1,0,1,8,24,2,1,"0","Thirteenth District Court",2015
"443","Lower Court Appeal ‐ Plaintiff Appellant","6","4","0","8","2","2",0,0,0,0,0,0,0,0,2,5,1,0,"0","Thirteenth District Court",2015
"444","Lower Court DWI/DUI Appeals","1","0","0","1","0","0",0,0,0,0,0,0,0,0,0,1,0,0,"0","Thirteenth District Court",2015
"445","Lower Court DWI Appeal ‐ Defendant Appellant","60","19","4","64","20","9",11,0,0,8,6,0,0,1,9,40,4,4,"0","Thirteenth District Court",2015
"446","Lower Court DWI Appeal ‐ Plaintiff Appellant","1","1","0","1","1","0",1,0,0,0,0,0,0,0,1,0,0,0,"0","Thirteenth District Court",2015
"447","Misdemeanor (Dist.)","2","4","0","1","5","3",2,0,0,0,0,0,0,0,0,0,1,0,"0","Thirteenth District Court",2015
"448","Misdemeanor DWI/DUI","1","9","0","3","7","6",1,0,0,0,0,0,0,0,0,1,3,0,"0","Thirteenth District Court",2015
"449","Petition for Review of Bond/Conditions of Release","1","1","0","1","1","0",1,0,0,0,0,0,0,0,1,0,0,0,"0","Thirteenth District Court",2015
"450","Total","3002","1410","651","2172","2897","879",1273,745,32,19,24,13,2,8,238,751,852,712,"4","Thirteenth District Court",2015
"451","JUVENILE","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","Thirteenth District Court",2015
"452","Juvenile Public Safety Offenses","15","21","10","29","17","12",4,1,0,0,0,0,0,0,6,6,10,8,"0","Thirteenth District Court",2015
"453","Juvenile Crimes Against Property","71","32","16","78","40","16",16,8,0,0,0,0,0,0,13,16,27,25,"0","Thirteenth District Court",2015
"454","Juvenile Crimes Against Persons","94","71","36","131","68","33",28,7,0,0,0,0,0,0,22,37,44,41,"0","Thirteenth District Court",2015
"455","Juvenile Delinquent Felony","3","2","0","4","1","1",0,0,0,0,0,0,0,0,0,1,0,2,"0","Thirteenth District Court",2015
"456","Juvenile Delinquent Non‐Felony","2","1","2","4","1","0",1,0,0,0,0,0,0,0,0,0,1,3,"0","Thirteenth District Court",2015
"457","Juvenile Drug Offenses","52","52","18","77","45","31",12,2,0,0,0,0,0,0,17,28,20,19,"0","Thirteenth District Court",2015
"458","Juvenile DWI Offenses","8","13","5","16","10","6",4,0,0,0,0,0,0,0,0,8,5,7,"0","Thirteenth District Court",2015
"459","Juvenile Graffiti Offenses","3","0","1","3","1","0",0,1,0,0,0,0,0,0,1,1,0,1,"0","Thirteenth District Court",2015
"460","Juvenile Homicide","1","0","0","0","1","0",1,0,0,0,0,0,0,0,0,0,0,0,"0","Thirteenth District Court",2015
"461","Juvenile Motor Vehicle Offenses","5","2","0","6","1","1",0,0,0,1,1,0,0,0,1,2,2,1,"0","Thirteenth District Court",2015
"462","Juvenile Sexual Offenses","7","9","0","3","13","5",7,1,0,0,0,0,0,0,0,3,2,0,"0","Thirteenth District Court",2015
"463","Youthful Offender Crimes Against Persons","4","0","0","1","3","0",3,0,0,0,0,0,0,0,0,1,1,0,"0","Thirteenth District Court",2015
"464","Youthful Offender Crimes Against Property","3","0","0","2","1","0",1,0,0,0,0,0,0,0,0,2,2,0,"0","Thirteenth District Court",2015
"465","Youthful Offender Public Safety Offenses","0","1","0","1","0","0",0,0,0,0,0,0,0,0,0,1,1,0,"0","Thirteenth District Court",2015
"466","Youthful Offender Homicide","2","0","0","1","1","0",1,0,0,0,0,0,0,0,0,1,1,0,"0","Thirteenth District Court",2015
"467","Youthful Offender Sexual Offenses","1","3","0","1","3","2",1,0,0,0,0,0,0,0,0,0,0,1,"0","Thirteenth District Court",2015
"468","Total","271","207","88","357","206","107",79,20,0,1,1,0,0,0,60,107,116,108,"0","Thirteenth District Court",2015
"469","CRIMINAL","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Statewide District Court",2015
"470","Adult Motor Vehicle Offenses","22","5","11","18","20","4",8,8,1,1,2,0,0,0,1,4,1,10,"0","Statewide District Court",2015
"471","Domestic Violence Appeal","2","0","0","0","2","0",2,0,0,0,0,0,0,0,0,0,0,0,"0","Statewide District Court",2015
"472","Domestic Violence Appeal ‐ Defendant Appellant","7","2","0","8","1","0",1,0,0,1,1,0,0,0,1,5,1,0,"0","Statewide District Court",2015
"473","Extradition","156","190","1","185","164","40",83,41,0,0,0,0,0,0,15,1,103,0,"51","Statewide District Court",2015
"474","Felony Crimes Against Property","7847","3960","3869","9175","6542","2043",1870,2629,130,3,45,25,27,35,930,3020,3049,3962,"3","Statewide District Court",2015
"475","Felony Crimes Against Persons","6471","3874","2936","7505","5821","2223",2120,1478,185,6,81,57,28,24,741,2585,2871,2990,"1","Statewide District Court",2015
"476","Felony Drug Offenses","6451","3660","2880","7413","5614","1853",1618,2143,115,3,60,18,22,18,850,2511,2821,2857,"1","Statewide District Court",2015
"477","Felony DWI/DUI","1401","813","484","1432","1275","401",424,450,33,6,23,5,6,5,36,824,703,447,"0","Statewide District Court",2015
"478","Felony Homicide","243","108","69","177","243","73",144,26,27,0,19,5,3,0,3,66,58,70,"0","Statewide District Court",2015
"479","Felony Miscellaneous","874","457","304","861","788","253",304,231,18,3,12,3,3,3,76,305,293,309,"1","Statewide District Court",2015
"480","Felony Public Safety Offenses","771","679","394","1128","713","314",215,184,16,3,8,4,4,3,112,504,443,368,"0","Statewide District Court",2015
"481","Felony Sexual Offenses","975","438","264","766","927","272",476,179,63,2,21,22,8,12,63,264,295,251,"0","Statewide District Court",2015
"482","Felony First Degree","46","0","30","30","47","12",26,9,2,0,1,0,1,0,0,3,2,25,"0","Statewide District Court",2015
"483","Felony Domestic Violence","481","289","216","649","336","124",103,109,13,0,4,4,0,5,90,202,340,193,"0","Statewide District Court",2015
"484","Felony Vehicular Homicide","24","8","6","16","22","5",12,5,3,0,3,0,0,0,1,8,6,4,"0","Statewide District Court",2015
"485","Lower Court Appeal","77","0","2","19","63","6",52,5,0,0,0,0,0,0,7,2,1,7,"0","Statewide District Court",2015
"486","Lower Court Appeal ‐ Defendant Appellant","294","361","10","384","284","150",131,3,7,46,36,4,5,4,42,246,32,9,"3","Statewide District Court",2015
"487","Lower Court Appeal ‐ Plaintiff Appellant","20","24","1","25","20","12",8,0,0,1,0,0,0,1,8,10,6,0,"0","Statewide District Court",2015
"488","Lower Court DWI/DUI Appeals","15","0","0","5","10","0",9,1,0,0,0,0,0,0,0,2,1,1,"1","Statewide District Court",2015
"489","Lower Court DWI Appeal ‐ Defendant Appellant","251","237","10","303","198","113",84,1,5,43,34,3,2,5,22,209,13,11,"1","Statewide District Court",2015
"490","Lower Court DWI Appeal ‐ Plaintiff Appellant","11","15","1","15","12","7",4,1,0,3,3,0,0,0,2,8,1,1,"0","Statewide District Court",2015
"491","Misdemeanor (Dist.)","293","431","221","670","283","143",71,69,3,3,3,1,2,0,17,303,125,234,"0","Statewide District Court",2015
"492","Misdemeanor DWI/DUI","130","135","40","157","152","75",30,47,2,8,5,2,2,1,5,78,52,35,"0","Statewide District Court",2015
"493","Petition for Review of Bond/Conditions of Release","3","15","0","11","7","4",3,0,0,0,0,0,0,0,6,1,3,0,"0","Statewide District Court",2015
"494","Total","26865","15701","11749","30952","23544","8127",7798,7619,623,132,361,153,113,116,3028,11161,11220,11784,"62","Statewide District Court",2015
"495","JUVENILE","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Statewide District Court",2015
"496","Juvenile Public Safety Offenses","209","258","91","420","137","82",45,10,1,0,0,0,1,0,93,137,135,106,"0","Statewide District Court",2015
"497","Juvenile Crimes Against Property","646","960","492","1550","542","288",138,116,0,9,0,1,2,6,162,560,548,516,"5","Statewide District Court",2015
"498","Juvenile Crimes Against Persons","633","1095","379","1465","641","390",161,90,2,9,3,0,3,5,188,545,573,387,"1","Statewide District Court",2015
"499","Juvenile Delinquent Felony","71","69","27","118","48","20",22,6,1,0,1,0,0,0,5,59,30,34,"2","Statewide District Court",2015
"500","Juvenile Delinquent Non‐Felony","76","208","64","252","96","55",26,15,0,2,0,0,0,2,7,138,48,63,"0","Statewide District Court",2015
"501","Juvenile Drug Offenses","271","499","179","695","253","165",57,31,1,4,1,1,2,1,74,273,243,186,"1","Statewide District Court",2015
"502","Juvenile DWI Offenses","41","86","17","96","49","30",12,7,0,0,0,0,0,0,2,63,54,19,"0","Statewide District Court",2015
"503","Juvenile Extradition","1","5","0","4","2","0",2,0,0,0,0,0,0,0,0,0,1,0,"3","Statewide District Court",2015
"504","Juvenile Graffiti Offenses","7","3","3","8","5","3",1,1,0,0,0,0,0,0,1,1,2,4,"0","Statewide District Court",2015
"505","Juvenile Truancy","11","33","0","36","8","8",0,0,0,10,0,0,7,3,0,13,13,0,"0","Statewide District Court",2015
"506","Juvenile Homicide","5","5","0","5","5","1",4,0,0,0,0,0,0,0,0,0,2,0,"3","Statewide District Court",2015
"507","Juvenile Motor Vehicle Offenses","29","59","13","73","29","18",7,4,1,1,2,0,0,0,9,25,28,20,"0","Statewide District Court",2015
"508","Juvenile Sexual Offenses","83","93","24","131","70","37",23,10,1,0,1,0,0,0,7,63,62,28,"4","Statewide District Court",2015
"509","Youthful Offender Crimes Against Persons","33","15","12","37","23","6",14,3,1,0,1,0,0,0,0,21,20,13,"0","Statewide District Court",2015
"510","Youthful Offender Crimes Against Property","14","9","5","17","12","7",4,1,0,0,0,0,0,0,0,12,7,4,"0","Statewide District Court",2015
"511","Youthful Offender Public Safety Offenses","1","3","1","4","1","0",0,1,0,0,0,0,0,0,0,3,3,1,"0","Statewide District Court",2015
"512","Youthful Offender Homicide","10","3","4","8","9","4",4,1,1,0,1,0,0,0,0,2,2,4,"0","Statewide District Court",2015
"513","Youthful Offender Miscellaneous","1","1","0","1","1","0",1,0,0,0,0,0,0,0,0,1,0,0,"0","Statewide District Court",2015
"514","Youthful Offender Sexual Offenses","16","11","1","10","18","8",8,2,0,0,0,0,0,0,2,4,5,1,"0","Statewide District Court",2015
"515","Total","2158","3415","1312","4930","1949","1122",529,298,9,35,10,2,15,17,550,1920,1776,1386,"19","Statewide District Court",2015
"516","CRIMINAL","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"First District Court",2016
"517","Adult Motor Vehicle Offenses","3","0","0","1","2","0",1,1,0,0,0,0,0,0,0,0,0,1,"0","First District Court",2016
"518","Extradition","16","5","0","3","18","2",16,0,0,0,0,0,0,0,0,0,2,0,"1","First District Court",2016
"519","Felony Crimes Against Property","678","263","457","754","645","196",218,231,5,0,2,2,1,0,67,191,139,459,"0","First District Court",2016
"520","Felony Crimes Against Persons","616","308","280","616","589","184",238,167,19,0,7,9,1,2,42,224,152,279,"2","First District Court",2016
"521","Felony Drug Offenses","481","287","247","455","561","181",181,199,3,0,1,1,0,1,37,140,93,233,"0","First District Court",2016
"522","Felony DWI/DUI","241","78","148","247","218","61",103,54,2,0,0,2,0,0,2,101,52,135,"0","First District Court",2016
"523","Felony Homicide","21","4","9","14","20","5",14,1,2,0,1,1,0,0,0,3,1,9,"0","First District Court",2016
"524","Felony Miscellaneous","71","20","31","62","60","14",23,23,0,0,0,0,0,0,2,22,15,31,"0","First District Court",2016
"525","Felony Public Safety Offenses","33","24","19","39","37","14",14,9,0,0,0,0,0,0,1,9,6,25,"0","First District Court",2016
"526","Felony Sexual Offenses","58","23","11","31","60","15",23,22,4,0,2,1,1,0,1,10,10,10,"0","First District Court",2016
"527","Felony Domestic Violence","1","4","0","3","2","0",2,0,0,0,0,0,0,0,0,1,0,0,"1","First District Court",2016
"528","Lower Court Appeal","8","0","0","1","7","0",7,0,0,0,0,0,0,0,0,1,0,0,"0","First District Court",2016
"529","Felony Vehicular Homicide","4","1","2","2","5","0",4,1,0,0,0,0,0,0,0,1,0,1,"0","First District Court",2016
"530","Lower Court Appeal ‐ Defendant Appellant","37","20","2","26","33","11",21,1,0,3,3,0,0,0,8,10,2,2,"0","First District Court",2016
"531","Lower Court Appeal ‐ Plaintiff Appellant","7","6","0","7","6","4",2,0,0,0,0,0,0,0,4,0,3,0,"0","First District Court",2016
"532","Lower Court DWI/DUI Appeals","4","0","0","1","3","0",3,0,0,1,1,0,0,0,0,0,0,0,"0","First District Court",2016
"533","Lower Court DWI Appeal ‐ Defendant Appellant","13","18","2","12","21","10",11,0,0,2,2,0,0,0,2,6,2,0,"0","First District Court",2016
"534","Lower Court DWI Appeal ‐ Plaintiff Appellant","3","0","0","2","1","0",1,0,0,0,0,0,0,0,0,1,1,0,"0","First District Court",2016
"535","Misdemeanor (Dist.)","0","1","0","0","1","1",0,0,0,0,0,0,0,0,0,0,0,0,"0","First District Court",2016
"536","Misdemeanor DWI/DUI","2","0","2","2","2","1",1,0,0,0,0,0,0,0,0,0,0,2,"0","First District Court",2016
"537","Petition for Review of Bond/Conditions of Release","1","3","0","1","3","1",2,0,0,0,0,0,0,0,0,0,1,0,"0","First District Court",2016
"538","Total","2298","1065","1210","2279","2294","700",885,709,35,6,19,16,3,3,166,720,479,1187,"4","First District Court",2016
"539","JUVENILE","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"First District Court",2016
"540","Juvenile Public Safety Offenses","2","6","6","13","1","0",1,0,0,0,0,0,0,0,0,5,3,7,"0","First District Court",2016
"541","Juvenile Crimes Against Property","35","51","56","107","37","19",12,6,0,0,0,0,0,0,1,43,22,57,"1","First District Court",2016
"542","Juvenile Crimes Against Persons","46","70","64","136","46","23",12,11,0,0,0,0,0,0,3,46,32,68,"0","First District Court",2016
"543","Juvenile Delinquent Felony","7","4","3","6","8","1",3,4,0,0,0,0,0,0,0,3,0,3,"0","First District Court",2016
"544","Juvenile Delinquent Non‐Felony","3","7","9","14","6","3",3,0,0,0,0,0,0,0,0,6,1,8,"0","First District Court",2016
"545","Juvenile Drug Offenses","27","36","33","68","30","15",9,6,0,0,0,0,0,0,0,26,22,30,"0","First District Court",2016
"546","Juvenile DWI Offenses","10","8","4","18","5","1",4,0,0,0,0,0,0,0,0,14,10,4,"0","First District Court",2016
"547","Juvenile Homicide","2","0","0","0","2","0",2,0,0,0,0,0,0,0,0,0,0,0,"0","First District Court",2016
"548","Juvenile Motor Vehicle Offenses","2","4","2","5","3","2",1,0,0,0,0,0,0,0,0,3,2,2,"0","First District Court",2016
"549","Juvenile Sexual Offenses","6","7","2","4","11","5",3,3,0,0,0,0,0,0,0,1,0,3,"0","First District Court",2016
"550","Youthful Offender Crimes Against Persons","2","0","0","0","2","0",2,0,0,0,0,0,0,0,0,0,0,0,"0","First District Court",2016
"551","Youthful Offender Crimes Against Property","0","0","1","0","1","0",1,0,0,0,0,0,0,0,0,0,0,0,"0","First District Court",2016
"552","Youthful Offender Sexual Offenses","3","0","0","2","1","0",1,0,2,0,2,0,0,0,0,0,0,0,"0","First District Court",2016
"553","Total","145","193","180","373","153","69",54,30,2,0,2,0,0,0,4,147,92,182,"1","First District Court",2016
"554","CRIMINAL","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Second District Court",2016
"555","Domestic Violence Appeal ‐ Defendant Appellant","1","2","0","1","2","1",1,0,0,0,0,0,0,0,0,1,0,0,"0","Second District Court",2016
"556","Domestic Violence Appeal ‐ Plaintiff Appellant","0","5","0","2","5","5",0,0,0,0,0,0,0,0,0,2,0,0,"0","Second District Court",2016
"557","Extradition","57","61","0","50","67","12",12,43,0,0,0,0,0,0,1,0,47,0,"2","Second District Court",2016
"558","Felony Crimes Against Property","2653","1057","1468","2940","2234","562",327,1345,53,1,28,12,4,10,297,635,617,1585,"0","Second District Court",2016
"559","Felony Crimes Against Persons","1519","1030","931","2109","1366","559",279,528,78,2,34,25,8,12,244,518,553,950,"0","Second District Court",2016
"560","Felony Drug Offenses","1773","710","1103","2107","1485","257",214,1014,29,2,16,2,6,7,206,400,466,1162,"0","Second District Court",2016
"561","Felony DWI/DUI","320","122","82","243","282","60",84,138,6,0,4,0,1,1,6,115,83,83,"0","Second District Court",2016
"562","Felony Homicide","77","60","16","60","92","35",46,11,10,1,7,4,0,0,5,23,12,15,"0","Second District Court",2016
"563","Felony Miscellaneous","227","81","38","176","165","45",59,61,3,0,1,1,0,0,11,28,30,35,"0","Second District Court",2016
"564","Felony Public Safety Offenses","285","245","202","466","265","122",42,101,6,1,4,2,1,0,47,155,104,212,"0","Second District Court",2016
"565","Felony Sexual Offenses","343","84","102","297","228","56",78,94,44,1,17,22,2,3,31,68,81,106,"1","Second District Court",2016
"566","Felony First Degree","36","0","16","26","26","4",16,6,2,0,2,0,0,0,1,1,0,22,"0","Second District Court",2016
"567","Felony Domestic Violence","276","36","140","344","109","23",26,60,12,0,2,7,2,1,49,55,90,171,"0","Second District Court",2016
"568","Lower Court Appeal","1","0","0","0","1","1",0,0,0,0,0,0,0,0,0,0,0,0,"0","Second District Court",2016
"569","Felony Vehicular Homicide","5","1","2","3","5","1",2,2,1,0,1,0,0,0,0,0,0,2,"0","Second District Court",2016
"570","Lower Court Appeal ‐ Defendant Appellant","21","13","0","12","22","7",15,0,1,3,0,2,0,2,2,3,1,0,"0","Second District Court",2016
"571","Lower Court Appeal ‐ Plaintiff Appellant","0","2","0","1","1","1",0,0,0,0,0,0,0,0,0,0,0,0,"0","Second District Court",2016
"572","Lower Court DWI/DUI Appeals","1","0","0","0","1","0",1,0,0,0,0,0,0,0,0,0,0,0,"0","Second District Court",2016
"573","Lower Court DWI Appeal ‐ Defendant Appellant","40","36","1","39","38","17",21,0,0,0,0,0,0,0,1,19,0,0,"0","Second District Court",2016
"574","Lower Court DWI Appeal ‐ Plaintiff Appellant","4","4","0","4","4","3",1,0,0,0,0,0,0,0,0,1,1,0,"0","Second District Court",2016
"575","Misdemeanor (Dist.)","134","403","241","658","119","54",25,40,2,2,3,1,0,0,23,339,56,240,"0","Second District Court",2016
"576","Misdemeanor DWI/DUI","10","49","9","48","20","7",11,2,0,0,0,0,0,0,0,37,4,10,"0","Second District Court",2016
"577","Total","7783","4001","4351","9586","6537","1832",1260,3445,247,13,119,78,24,36,924,2400,2145,4593,"3","Second District Court",2016
"578","JUVENILE","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Second District Court",2016
"579","Juvenile Public Safety Offenses","67","120","36","149","74","48",15,11,0,1,0,0,0,1,45,36,48,32,"0","Second District Court",2016
"580","Juvenile Crimes Against Property","231","307","128","482","182","101",36,45,0,2,0,0,1,1,93,179,159,133,"0","Second District Court",2016
"581","Juvenile Crimes Against Persons","284","409","100","520","273","148",82,43,1,3,0,0,1,3,145,145,194,96,"0","Second District Court",2016
